City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,284.59,79,28,2.58,NZ,1686620685
1,nchelenge,-9.3451,28.734,291.92,60,28,2.38,ZM,1686620685
2,tazovsky,67.4667,78.7,273.96,93,100,8.12,RU,1686620685
3,mount gambier,-37.8333,140.7667,285.07,82,100,4.88,AU,1686620685
4,olonkinbyen,70.9221,-8.7187,275.2,87,100,8.86,SJ,1686620686
5,anadyr,64.75,177.4833,290.43,48,0,4.0,RU,1686620686
6,adamstown,-25.066,-130.1015,293.56,64,28,3.45,PN,1686620686
7,kimbe,-5.5502,150.1429,306.05,56,30,1.48,PG,1686620686
8,al jawf,29.5,38.75,297.32,32,0,2.55,SA,1686620686
9,bada,51.392,109.8717,296.52,52,100,1.47,RU,1686620687
10,port mathurin,-19.6833,63.4167,297.9,71,4,6.74,MU,1686620269
11,morton,46.7722,-101.2615,296.43,55,10,1.3,US,1686620687
12,petropavlovsk-kamchatsky,53.0452,158.6483,295.48,35,0,3.0,RU,1686620276
13,puerto natales,-51.7236,-72.4875,274.86,96,100,1.96,CL,1686620272
14,hamilton,39.1834,-84.5333,290.84,61,75,4.12,US,1686620484
15,ushuaia,-54.8,-68.3,277.96,75,40,12.86,AR,1686620688
16,margaret river,-33.95,115.0667,288.92,69,100,7.38,AU,1686620688
17,belyy yar,53.6039,91.3903,290.09,72,0,2.0,RU,1686620688
18,harper,4.375,-7.7169,298.55,77,96,3.84,LR,1686620689
19,darwin,-12.4611,130.8418,301.98,54,100,4.47,AU,1686620665
20,bethel,41.3712,-73.414,293.2,89,100,3.6,US,1686620620
21,palmer,42.1584,-72.3287,293.45,81,100,3.09,US,1686620689
22,coquimbo,-29.9533,-71.3436,284.0,81,75,1.54,CL,1686620637
23,blackmans bay,-43.0167,147.3167,284.67,79,100,3.42,AU,1686620690
24,itoman,26.1247,127.6694,301.58,96,75,4.63,JP,1686620690
25,holualoa,19.6228,-155.9522,300.06,83,40,4.63,US,1686620690
26,edinburgh of the seven seas,-37.0676,-12.3116,288.25,90,100,8.37,SH,1686620691
27,stanley,54.868,-1.6985,284.65,90,40,1.03,GB,1686620691
28,whitehorse,60.7161,-135.0538,290.58,21,40,5.66,CA,1686620691
29,kirensk,57.7853,108.1119,288.06,36,100,6.07,RU,1686620692
30,shimoda,34.6667,138.95,299.32,85,95,2.91,JP,1686620692
31,albany,42.6001,-73.9662,295.47,77,100,1.34,US,1686620500
32,walvis bay,-22.9575,14.5053,283.68,100,0,2.06,NA,1686620692
33,west island,-12.1568,96.8225,300.14,83,40,8.8,CC,1686620693
34,hithadhoo,-0.6,73.0833,301.88,71,54,4.16,MV,1686620693
35,hasaki,35.7333,140.8333,299.42,88,98,6.23,JP,1686620693
36,brookings,44.3114,-96.7984,294.34,37,0,3.6,US,1686620531
37,jamestown,42.097,-79.2353,286.92,78,100,4.63,US,1686620556
38,yuzhno-kurilsk,44.0306,145.8556,284.8,97,100,3.4,RU,1686620694
39,port-aux-francais,-49.35,70.2167,279.4,89,100,13.89,TF,1686620694
40,kodiak,57.79,-152.4072,284.88,54,0,7.2,US,1686620694
41,suntar,62.1444,117.6319,288.16,32,9,3.53,RU,1686620694
42,sao joao da barra,-21.6403,-41.0511,295.96,87,89,2.87,BR,1686620695
43,krasnyy chikoy,50.3643,108.7512,298.35,39,100,1.53,RU,1686620695
44,port elizabeth,-33.918,25.5701,287.31,65,0,4.63,ZA,1686620695
45,tangalle,6.024,80.7911,300.24,79,100,5.56,LK,1686620696
46,utrik,11.2278,169.8474,300.88,80,31,8.23,MH,1686620696
47,thunder bay,48.4001,-89.3168,292.14,55,75,2.57,CA,1686620648
48,moree,-29.4667,149.85,293.26,50,74,4.07,AU,1686620696
49,kendari,-3.945,122.4989,298.55,92,100,0.57,ID,1686620697
50,pindamonhangaba,-22.9239,-45.4617,291.29,94,18,3.09,BR,1686620697
51,avarua,-21.2078,-159.775,299.18,78,100,6.69,CK,1686620697
52,iqaluit,63.7506,-68.5145,274.0,69,75,4.63,CA,1686620697
53,murmashi,68.8154,32.8115,284.38,100,0,0.0,RU,1686620698
54,borgarnes,64.5383,-21.9206,282.18,81,32,1.15,IS,1686620698
55,hassi messaoud,31.6804,6.0729,302.07,23,0,2.06,DZ,1686620698
56,nar'yan-mar,67.6713,53.087,281.49,69,72,3.86,RU,1686620698
57,waitangi,-43.9535,-176.5597,285.27,89,94,1.79,NZ,1686620699
58,zdvinsk,54.7021,78.661,286.05,55,100,2.62,RU,1686620699
59,grytviken,-54.2811,-36.5092,270.54,85,94,4.04,GS,1686620699
60,bereket,39.2446,55.5154,301.93,29,0,1.84,TM,1686620699
61,galliano,29.4422,-90.2992,302.15,78,0,2.57,US,1686620700
62,yellowknife,62.456,-114.3525,281.44,66,75,2.57,CA,1686620541
63,papao,-17.75,-149.55,301.97,69,5,9.02,PF,1686620700
64,la passe,45.5549,-0.8967,291.31,92,100,2.47,FR,1686620700
65,chonchi,-42.6128,-73.8092,277.71,95,18,0.85,CL,1686620701
66,talnakh,69.4865,88.3972,281.6,73,97,1.83,RU,1686620701
67,newman,37.3138,-121.0208,302.34,52,48,2.24,US,1686620701
68,hopelchen,19.7667,-89.85,303.35,62,47,2.39,MX,1686620702
69,cobija,-11.0267,-68.7692,295.3,99,99,1.92,BO,1686620702
70,hawaiian paradise park,19.5933,-154.9731,301.88,67,40,2.57,US,1686620703
71,longyearbyen,78.2186,15.6401,275.06,87,75,4.63,SJ,1686620703
72,ribeira grande,38.5167,-28.7,292.47,97,8,1.79,PT,1686620703
73,fort mcmurray,56.7268,-111.381,293.92,49,0,1.03,CA,1686620704
74,ancud,-41.8697,-73.8203,277.9,90,41,2.61,CL,1686620704
75,lerwick,60.1545,-1.1494,285.15,93,100,3.15,GB,1686620704
76,north battleford,52.7834,-108.2847,298.2,57,0,3.09,CA,1686620705
77,college,64.8569,-147.8028,291.33,39,75,3.6,US,1686620705
78,punta arenas,-53.15,-70.9167,279.21,70,20,8.75,CL,1686620591
79,bilibino,68.0546,166.4372,281.93,88,100,7.1,RU,1686620706
80,poronaysk,49.2167,143.1167,281.35,98,100,1.67,RU,1686620706
81,kruisfontein,-34.0033,24.7314,283.64,69,86,4.82,ZA,1686620706
82,tiksi,71.6872,128.8694,275.35,96,100,3.0,RU,1686620707
83,santa cruz,-17.8,-63.1667,286.85,58,100,8.23,BO,1686620707
84,atafu village,-8.5421,-172.5159,301.81,75,45,6.71,TK,1686620707
85,port alfred,-33.5906,26.891,286.81,66,100,6.32,ZA,1686620707
86,rajo khanani,24.9841,68.8536,304.47,62,84,7.82,PK,1686620708
87,gizo,-8.103,156.8419,301.85,76,12,3.73,SB,1686620708
88,puerto santa,-8.9906,-78.6456,294.46,82,20,6.25,PE,1686620708
89,champerico,14.3,-91.9167,302.1,77,100,2.96,GT,1686620709
90,turpan,42.9333,89.1667,308.24,16,100,3.17,CN,1686620709
91,ascension,30.2169,-90.9001,303.15,77,40,1.54,US,1686620709
92,argo,37.6333,22.7333,291.36,77,81,1.44,GR,1686620709
93,puerto ayora,-0.7393,-90.3518,299.57,90,73,4.02,EC,1686620710
94,severo-yeniseyskiy,60.3725,93.0408,282.49,74,98,2.59,RU,1686620710
95,ubari,26.5921,12.7805,299.77,30,0,4.04,LY,1686620710
96,keflavik,64.0049,-22.5624,282.1,87,20,1.03,IS,1686620710
97,al kharijah,25.4514,30.5464,302.9,26,0,1.45,EG,1686620711
98,anekal,12.7,77.7,295.63,78,88,6.59,IN,1686620711
99,la sarre,48.8002,-79.1996,288.18,88,100,2.23,CA,1686620711
100,georgetown,5.4112,100.3354,304.11,74,20,4.12,MY,1686620711
101,bel ombre,-4.6167,55.4167,300.06,74,40,6.17,SC,1686620712
102,banda aceh,5.5577,95.3222,302.56,65,62,4.73,ID,1686620712
103,rio san juan,19.6439,-70.0763,301.57,86,10,6.67,DO,1686620712
104,nadym,65.5333,72.5167,277.27,57,100,7.04,RU,1686620712
105,wailua homesteads,22.0669,-159.378,301.39,78,40,6.17,US,1686620713
106,vilyuysk,63.7553,121.6247,288.0,31,1,5.33,RU,1686620713
107,qaqortoq,60.7167,-46.0333,279.86,76,100,2.71,GL,1686620713
108,tisul',55.7611,88.3122,284.72,78,100,2.5,RU,1686620714
109,slave lake,55.2834,-114.769,298.14,41,75,4.63,CA,1686620669
110,vadso,70.0744,29.7487,282.24,61,100,5.14,NO,1686620714
111,saudarkrokur,65.7461,-19.6394,282.08,81,9,3.01,IS,1686620714
112,al ghayzah,16.2079,52.176,301.1,92,100,1.16,YE,1686620715
113,bredasdorp,-34.5322,20.0403,287.1,73,67,11.33,ZA,1686620715
114,kavaratti,10.5669,72.642,302.66,75,100,9.51,IN,1686620715
115,buchanan,5.8808,-10.0467,298.19,82,92,3.22,LR,1686620715
116,ilulissat,69.2167,-51.1,275.16,75,75,3.09,GL,1686620716
117,vorgashor,67.5833,63.95,280.26,57,100,5.0,RU,1686620716
118,lompoc,34.6391,-120.4579,293.71,78,100,3.13,US,1686620487
119,portland,45.5234,-122.6762,305.47,42,20,5.66,US,1686620582
120,isafjordur,66.0755,-23.124,280.89,81,52,3.15,IS,1686620717
121,nizhneudinsk,54.9076,99.0276,283.56,96,100,1.35,RU,1686620717
122,kattivakkam,13.2167,80.3167,303.2,76,68,3.87,IN,1686620717
123,namibe,-15.1961,12.1522,289.02,80,4,1.59,AO,1686620718
124,palanga,55.9175,21.0686,285.16,62,0,2.06,LT,1686620718
125,ust-nera,64.5667,143.2,280.62,90,100,4.44,RU,1686620718
126,tengrela,10.4869,-6.4097,296.84,81,73,1.83,CI,1686620718
127,cam pha mines,21.0167,107.3,302.79,70,92,1.32,VN,1686620719
128,san rafael,-34.6177,-68.3301,277.89,30,0,2.84,AR,1686620715
129,new plymouth,-39.0667,174.0833,287.9,100,1,1.23,NZ,1686620431
130,saipan,15.1355,145.701,304.54,100,20,6.17,MP,1686620720
131,san antonio de pale,-1.4014,5.6325,297.46,89,99,3.4,GQ,1686620720
132,mersing,2.4312,103.8405,300.1,89,20,1.54,MY,1686620720
133,praia da vitoria,38.7333,-27.0667,292.29,94,20,2.68,PT,1686620720
134,clover,35.1113,-81.2265,295.03,58,0,1.54,US,1686620721
135,novyy turtkul',41.55,61.0167,293.1,17,3,5.11,UZ,1686620721
136,revda,56.801,59.9303,280.67,58,0,1.4,RU,1686620721
137,jolo,6.05,121.0167,304.54,59,16,1.54,PH,1686620722
138,liuhe,42.2401,125.7172,292.21,78,99,1.35,CN,1686620722
139,la'ie,21.6477,-157.9253,304.13,70,0,2.68,US,1686620722
140,bonthe,7.5264,-12.505,297.93,88,100,2.46,SL,1686620722
141,invercargill,-46.4,168.35,284.66,83,72,1.82,NZ,1686620435
142,udachny,66.4167,112.4,289.51,35,19,7.02,RU,1686620723
143,havre,49.5833,0.3333,289.37,100,100,1.54,FR,1686620723
144,padang,-0.9492,100.3543,300.18,71,88,0.62,ID,1686620428
145,nova vicosa,-17.8919,-39.3719,295.48,87,0,3.76,BR,1686620724
146,kapuskasing,49.4169,-82.4331,292.15,72,100,1.54,CA,1686620666
147,solnechnyy,50.7214,136.6319,293.66,43,4,2.86,RU,1686620724
148,dudinka,69.4058,86.1778,281.83,61,80,2.73,RU,1686620725
149,lensk,60.7253,114.9278,288.59,28,4,1.92,RU,1686620725
150,south hedland,-20.4089,118.5983,296.11,23,40,8.75,AU,1686620725
151,el granada,37.5027,-122.4694,295.27,74,100,7.72,US,1686620559
152,tongliao,43.6125,122.2653,297.05,43,5,2.28,CN,1686620726
153,lejanias,3.5251,-74.0216,293.78,96,99,1.84,CO,1686620726
154,codrington,-38.2667,141.9667,285.92,75,100,6.92,AU,1686620727
155,alaminos,14.0639,121.2465,304.45,63,100,2.01,PH,1686620727
156,murun-kuren,49.6342,100.1625,292.32,60,100,4.46,MN,1686620727
157,san patricio,28.017,-97.5169,302.69,83,79,6.5,US,1686620728
158,ugoofaaru,5.6667,73.0,301.9,79,100,7.63,MV,1686620728
159,inarajan village,13.2736,144.7484,303.37,79,10,7.76,GU,1686620728
160,owo,7.1962,5.5868,295.15,96,99,0.98,NG,1686620728
161,cabo san lucas,22.8909,-109.9124,304.76,45,0,2.57,MX,1686620610
162,ta`u,-14.2336,-169.5144,300.75,74,43,7.47,AS,1686620729
163,viveiro,43.6623,-7.5934,289.51,93,100,2.16,ES,1686620730
164,plastun,44.7561,136.2939,286.56,89,100,2.43,RU,1686620730
165,enewetak,11.3474,162.3373,301.0,81,98,8.85,MH,1686620730
166,mirny,62.5353,113.9611,287.17,30,55,0.89,RU,1686620731
167,tura,25.5198,90.2201,299.55,87,9,2.52,IN,1686620731
168,greenfield,42.9614,-88.0126,289.51,52,79,3.83,US,1686620732
169,jalai nur,49.45,117.7,301.92,24,93,2.36,CN,1686620732
170,sengkang,-4.1279,120.0297,302.43,69,92,3.27,ID,1686620732
171,souillac,-20.5167,57.5167,296.36,94,40,2.06,MU,1686620732
172,belmonte,-15.8631,-38.8828,296.44,87,3,1.94,BR,1686620733
173,altamont,42.2068,-121.7372,300.06,28,0,7.72,US,1686620733
174,kingston,17.997,-76.7936,301.68,74,20,5.14,JM,1686620681
175,dieppe,49.75,1.1667,288.81,94,7,0.45,FR,1686620733
176,saint-francois,46.4154,3.9054,286.86,100,100,0.51,FR,1686620734
177,manvi,15.9833,77.05,301.14,60,10,6.2,IN,1686620734
178,sovetskaya gavan',48.9723,140.2878,282.94,96,100,1.71,RU,1686620734
179,lihue,21.9789,-159.3672,301.73,72,40,6.17,US,1686620734
180,rupert,42.6191,-113.6772,295.12,49,0,2.06,US,1686620735
181,okuta,9.2167,3.1833,295.12,83,97,1.25,NG,1686620735
182,gargzdai,55.7128,21.4033,285.03,83,92,1.98,LT,1686620735
183,ambanja,-13.6833,48.45,293.72,93,8,1.58,MG,1686620736
